,tagX,tagY,StartTime,Weight
0,904,901,1605172015,10
1,904,901,1605172105,11
2,904,901,1605172750,11
3,904,901,1605173252,21
4,904,901,1605173330,57
5,904,901,1605173581,86
6,1001,901,1605172900,34
7,1001,901,1605173374,10
8,1001,901,1605173497,8
9,1004,901,1605172666,262
10,1004,901,1605172969,21
11,1004,901,1605173046,27
12,1004,901,1605173161,5
13,1004,901,1605173239,10
14,1004,901,1605173306,7
15,1004,901,1605173392,37
16,1004,901,1605173518,11
17,1004,901,1605173579,10
18,1004,901,1605173674,8
19,1005,901,1605172772,10
20,1005,901,1605172916,27
21,1005,901,1605173221,19
22,1005,901,1605173366,18
23,1005,901,1605173603,54
24,1101,901,1605172809,10
25,1101,901,1605172996,2
26,1101,901,1605173306,1
27,1101,901,1605173510,2
28,1102,901,1605172766,37
29,1102,901,1605172996,2
30,1102,901,1605173063,7
31,1102,901,1605173270,10
32,1102,901,1605173413,7
33,1102,901,1605173510,2
34,1103,901,1605172941,7
35,1103,901,1605173046,36
36,1103,901,1605173132,7
37,1103,901,1605173320,6
38,1103,901,1605173482,2
39,1103,901,1605173648,18
40,1106,901,1605172986,4
41,1106,901,1605173077,8
42,1106,901,1605173262,10
43,1106,901,1605173473,10
44,1106,901,1605173525,10
45,1107,901,1605172763,34
46,1107,901,1605172886,7
47,1107,901,1605172974,6
48,1107,901,1605173080,5
49,1107,901,1605173170,8
50,1107,901,1605173306,7
51,1107,901,1605173392,41
52,1107,901,1605173497,8
53,1107,901,1605173581,63
54,1108,901,1605172666,12
55,1108,901,1605172766,7
56,1108,901,1605172807,13
57,1108,901,1605173092,4
58,1108,901,1605173382,51
59,1108,901,1605173473,17
60,1108,901,1605173572,10
61,1109,901,1605172615,13
62,1109,901,1605172986,4
63,1109,901,1605173482,2
64,1109,901,1605173573,10
65,1201,901,1605172835,15
66,1201,901,1605173306,1
67,1201,901,1605173413,7
68,1201,901,1605173493,10
69,1201,901,1605173581,10
70,1202,901,1605172810,10
71,1202,901,1605172855,17
72,1202,901,1605173084,9
73,1202,901,1605173161,10
74,1202,901,1605173306,1
75,1202,901,1605173419,14
76,1202,901,1605173655,8
77,1203,901,1605172633,10
78,1203,901,1605172781,10
79,1203,901,1605172855,19
80,1203,901,1605172942,10
81,1203,901,1605173007,8
82,1203,901,1605173063,7
83,1203,901,1605173152,10
84,1203,901,1605173247,7
85,1203,901,1605173306,18
86,1203,901,1605173428,5
87,1203,901,1605173519,10
88,1203,901,1605173575,10
89,901,904,1605172015,10
90,901,904,1605172105,11
91,901,904,1605172750,11
92,901,904,1605173252,21
93,901,904,1605173330,57
94,901,904,1605173581,86
95,1001,904,1605173179,10
96,1002,904,1605173028,12
97,1004,904,1605173674,7
98,1005,904,1605173298,10
99,1005,904,1605173414,36
100,1005,904,1605173487,40
101,1005,904,1605173566,87
102,1102,904,1605173271,10
103,1109,904,1605173103,45
104,1203,904,1605172708,10
105,1203,904,1605172818,10
106,901,1001,1605172900,34
107,901,1001,1605173374,10
108,901,1001,1605173497,8
109,904,1001,1605173179,10
110,1002,1001,1605171970,13
111,1002,1001,1605172108,17
112,1002,1001,1605174091,10
113,1002,1001,1605174180,10
114,1003,1001,1605171972,13
115,1003,1001,1605172109,16
116,1004,1001,1605171970,14
117,1004,1001,1605172107,17
118,1004,1001,1605172900,21
119,1004,1001,1605172986,4
120,1005,1001,1605171967,17
121,1005,1001,1605172107,18
122,1005,1001,1605172964,16
123,1005,1001,1605173026,59
124,1005,1001,1605173145,9
125,1005,1001,1605173225,10
126,1005,1001,1605173546,7
127,1006,1001,1605171968,19
128,1006,1001,1605172110,12
129,1006,1001,1605173581,4
130,1006,1001,1605173875,10
131,1006,1001,1605174028,84
132,1006,1001,1605174155,78
133,1007,1001,1605171970,15
134,1007,1001,1605172105,19
135,1007,1001,1605173063,4
136,1007,1001,1605174229,10
137,1103,1001,1605173455,2
138,1103,1001,1605173504,1
139,1202,1001,1605172902,10
140,904,1002,1605173028,12
141,1001,1002,1605171970,13
142,1001,1002,1605172108,17
143,1001,1002,1605174091,10
144,1001,1002,1605174180,10
145,1003,1002,1605171972,12
146,1003,1002,1605172106,17
147,1003,1002,1605173170,35
148,1003,1002,1605173294,7
149,1003,1002,1605173518,17
150,1003,1002,1605174082,36
151,1003,1002,1605174152,91
152,1004,1002,1605171969,16
153,1004,1002,1605172109,14
154,1004,1002,1605174052,10
155,1004,1002,1605174096,144
156,1005,1002,1605171972,12
157,1005,1002,1605172110,15
158,1005,1002,1605172715,52
159,1005,1002,1605173320,6
160,1005,1002,1605174052,10
161,1005,1002,1605174108,122
162,1006,1002,1605171967,19
163,1006,1002,1605172110,15
164,1006,1002,1605172302,11
165,1006,1002,1605172916,6
166,1006,1002,1605174028,204
167,1007,1002,1605171975,11
168,1007,1002,1605172108,17
169,1007,1002,1605173282,7
170,1007,1002,1605173398,35
171,1007,1002,1605174083,160
172,1103,1002,1605172715,8
173,1203,1002,1605172706,29
174,1203,1002,1605172790,41
175,1001,1003,1605171972,13
176,1001,1003,1605172109,16
177,1002,1003,1605171972,12
178,1002,1003,1605172106,17
179,1002,1003,1605173170,35
180,1002,1003,1605173294,7
181,1002,1003,1605173518,17
182,1002,1003,1605174082,36
183,1002,1003,1605174152,91
184,1004,1003,1605172109,15
185,1004,1003,1605173674,2
186,1004,1003,1605174108,17
187,1004,1003,1605174163,10
188,1005,1003,1605171967,16
189,1005,1003,1605172113,10
190,1005,1003,1605173146,8
191,1005,1003,1605173320,6
192,1005,1003,1605173540,7
193,1005,1003,1605174157,10
194,1006,1003,1605171968,17
195,1006,1003,1605172106,19
196,1006,1003,1605172302,11
197,1006,1003,1605172645,10
198,1006,1003,1605172861,6
199,1006,1003,1605173648,9
200,1006,1003,1605173875,10
201,1006,1003,1605174032,201
202,1007,1003,1605171968,17
203,1007,1003,1605172109,15
204,1007,1003,1605172620,22
205,1007,1003,1605172678,108
206,1007,1003,1605172824,410
207,1007,1003,1605173282,99
208,1007,1003,1605173431,10
209,1007,1003,1605173482,7
210,1007,1003,1605173534,110
211,1007,1003,1605174229,10
212,1102,1003,1605172862,8
213,901,1004,1605172666,262
214,901,1004,1605172969,21
215,901,1004,1605173046,27
216,901,1004,1605173161,5
217,901,1004,1605173239,10
218,901,1004,1605173306,7
219,901,1004,1605173392,37
220,901,1004,1605173518,11
221,901,1004,1605173579,10
222,901,1004,1605173674,8
223,904,1004,1605173674,7
224,1001,1004,1605171970,14
225,1001,1004,1605172107,17
226,1001,1004,1605172900,21
227,1001,1004,1605172986,4
228,1002,1004,1605171969,16
229,1002,1004,1605172109,14
230,1002,1004,1605174052,10
231,1002,1004,1605174096,144
232,1003,1004,1605172109,15
233,1003,1004,1605173674,2
234,1003,1004,1605174108,17
235,1003,1004,1605174163,10
236,1005,1004,1605171969,13
237,1005,1004,1605172108,16
238,1005,1004,1605172833,51
239,1005,1004,1605173639,11
240,1005,1004,1605174115,52
241,1006,1004,1605171970,16
242,1006,1004,1605172105,18
243,1006,1004,1605172302,11
244,1006,1004,1605173674,2
245,1006,1004,1605174028,207
246,1007,1004,1605171968,16
247,1007,1004,1605172108,16
248,1007,1004,1605173674,7
249,1007,1004,1605174097,10
250,1007,1004,1605174158,10
251,1101,1004,1605172880,11
252,1101,1004,1605173002,7
253,1101,1004,1605173092,4
254,1101,1004,1605173176,4
255,1101,1004,1605173227,6
256,1101,1004,1605173562,5
257,1101,1004,1605173644,10
258,1102,1004,1605173394,10
259,1102,1004,1605173508,10
260,1103,1004,1605172672,10
